,breed,tweet_id,timestamp,source,text,name,doggo,floofer,pupper,puppo,favorite_count,retweet_count,rating
67,West_Highland_white_terrier,875021211251597312,1497470688,iPhone,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir.  stealthy as h*ck ,0,0,0,0,0,25741,4821,1.2
68,Labrador_retriever,874680097055178752,1497389360,iPhone,Meet Cash. He hath acquired a stick. A very good stick tbh.  would pat head approvingly ,Cash,0,0,0,0,28154,4765,1.2
69,cocker_spaniel,874296783580663808,1497297971,iPhone,This is Jed. He may be the fanciest pupper in the game right now. Knows it too.  would sign modeling contract ,Jed,0,0,1,0,26344,4231,1.3
70,flat-coated_retriever,874057562936811520,1497240936,iPhone,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you...  ",0,0,0,0,0,22888,4059,1.2
71,Cardigan,874012996292530176,1497230311,iPhone,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy.  #PrideMonth puppo ",Sebastian,0,0,0,1,35067,10765,1.3
72,Newfoundland,873580283840344065,1497127144,iPhone,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too.  would hug firmly ",0,0,0,0,0,24527,4050,1.3
73,vizsla,873213775632977920,1497039762,iPhone,"This is Sierra. She's one precious pupper. Absolute . Been in and out of ICU her whole life. Help Sierra below

 ",Sierra,0,0,1,0,7369,1635,1.2
74,Labrador_retriever,872967104147763200,1496980951,iPhone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad.  good to go doggo ,0,1,0,0,0,27711,5562,1.2
75,pug,872820683541237760,1496946041,iPhone,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All  ",0,0,0,0,0,14880,3811,1.3
76,cocker_spaniel,872620804844003328,1496898387,iPhone,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana.  love is love is love... ,Monkey,0,0,0,0,21066,3827,1.3
77,Pembroke,872486979161796608,1496866480,iPhone,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys...  ,0,0,0,0,0,41118,9256,1.2
78,Labrador_retriever,872261713294495745,1496812772,iPhone,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here.  blessed as h*ck ,Harry,0,0,0,0,34692,6529,1.3
79,Shetland_sheepdog,871879754684805121,1496721706,iPhone,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner.  ,Lassie,0,0,0,0,38624,11623,1.3
80,Labrador_retriever,871762521631449091,1496693756,iPhone,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter.  ,Rover,0,0,1,0,20548,3590,1.2
81,komondor,871515927908634625,1496634963,iPhone,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids.  great doggo ,Napolean,1,0,0,0,20510,3560,1.2
82,kelpie,871032628920680449,1496519736,iPhone,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style.  simply breathtaking ",Boomer,0,0,0,0,22999,3925,1.3
83,Pembroke,870656317836468226,1496430016,iPhone,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 

Help Cody here:  ",Cody,0,0,0,0,12663,2757,1.3
84,golden_retriever,870374049280663552,1496362718,iPhone,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it.  ,Zoey,0,0,0,0,84022,27169,1.3
85,Greater_Swiss_Mountain_dog,870308999962521604,1496347209,iPhone,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket.  would attempt a boop without waking ",Rumble,0,0,0,0,22186,4301,1.3
86,Pembroke,869772420881756160,1496219279,iPhone,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk.  would snug softly ",Dewey,0,0,0,0,43167,10446,1.3
87,Pembroke,869702957897576449,1496202718,iPhone,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other.  we don't leave until you buckle pup Stanley ,Stanley,0,0,0,0,28761,6571,1.3
88,Chihuahua,869596645499047938,1496177371,iPhone,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions.  would throw cap for ,Scout,1,0,0,0,16281,3256,1.2
89,Pembroke,869227993411051520,1496089477,iPhone,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved.  would boop well ,Gizmo,0,0,0,0,20848,3943,1.3
90,Labrador_retriever,868622495443632128,1495945115,iPhone,Here's a h*ckin peaceful boy. Unbothered by the comings and goings.  please reveal your wise ways ,0,0,0,0,0,27949,6163,1.3
91,whippet,868552278524837888,1495928374,iPhone,"Say hello to Cooper. His expression is the same wet or dry. Absolute  but Coop desperately requests your help

 ",Cooper,0,0,0,0,10396,2187,1.2
92,Labrador_retriever,867900495410671616,1495772977,iPhone,"Unbelievable. We only rate dogs. Please don't send in non-canines like the ""I"" from Pixar's opening credits. Thank you...  ",0,0,0,0,0,24692,4361,1.2
93,Border_collie,867774946302451713,1495743044,iPhone,Meet Harold.  He's h*ckin cooperative.  good work Harold ,Harold,0,0,0,0,34741,7643,1.3
94,Eskimo_dog,867421006826221569,1495658658,iPhone,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed.  superior puppo ,Shikha,0,0,0,1,16541,2636,1.2
95,Blenheim_spaniel,867072653475098625,1495575604,iPhone,RT @rachaeleasler: these @dog_rates hats are  bean approved ,0,0,0,0,0,0,132,1.3
96,Samoyed,867051520902168576,1495570566,iPhone,"Oh my this spooked me up. We only rate dogs, not happy ghosts. Please send dogs only. It's a very simple premise. Thank you...  ",0,0,0,0,0,33010,8258,1.3
97,flat-coated_retriever,866686824827068416,1495483615,iPhone,This is Lili. She can't believe you betrayed her with bath time. Never looking you in the eye again.  would puppologize profusely ,Lili,0,0,0,0,19833,3654,1.2
98,French_bulldog,866450705531457537,1495427320,iPhone,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk.  such passion, much tender ",Jamesy,0,0,1,0,124710,36866,1.3
99,Samoyed,866334964761202691,1495399725,iPhone,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion.  would hug softly ,Coco,0,0,0,0,53984,15201,1.2
100,golden_retriever,865718153858494464,1495252666,iPhone,"Meet Boomer. He's just checking pup on you. Hopes you had a good day. If not, he hopes he made it better.  extremely good boy ",Boomer,0,0,0,0,26298,5883,1.3
101,Chesapeake_Bay_retriever,865359393868664832,1495167131,iPhone,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen.  ,Sammy,0,0,0,0,27198,5258,1.3
102,Pembroke,865006731092295680,1495083050,iPhone,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off.  h*ck of a puppurchase ,Nelly,0,0,0,0,28764,8072,1.3
103,bull_mastiff,864279568663928832,1494909681,iPhone,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy.  I'd do anything for Meatball ,Meatball,0,0,0,0,15025,3214,1.2
104,golden_retriever,864197398364647424,1494890090,iPhone,This is Paisley. She ate a flower just to prove she could. Savage af.  would pet so well ,Paisley,0,0,0,0,31051,9429,1.3
105,Eskimo_dog,863553081350529029,1494736473,iPhone,This is Neptune. He's a backpup vocalist for the Dixie Chicks.  (vid by @AmiWinehouse) ,Neptune,0,0,0,0,15734,4391,1.3
106,Staffordshire_bullterrier,863432100342583297,1494707629,iPhone,This is Belle. She's never been more pupset. Encountered the worst imaginable type of zone.  would do anything to cheer pup ,Belle,0,0,0,0,24508,5561,1.2
107,Lakeland_terrier,863079547188785154,1494623573,iPhone,"Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to  ",0,0,0,0,0,9009,1163,1.4
108,French_bulldog,863062471531167744,1494619502,iPhone,"Say hello to Quinn. She's quite the goofball. Not even a year old. Confirmed  but she really needs your help 

 ",Quinn,0,0,0,0,8825,2620,1.3
109,Australian_terrier,862831371563274240,1494564404,iPhone,"This is Zooey. She's the world's biggest fan of illiterate delivery people.  not your fault they don't listen, Zooey ",Zooey,0,0,0,0,19779,5352,1.3
110,basset,862722525377298433,1494538453,iPhone,"This is Dave. He passed the h*ck out. It's barely the afternoon on a Thursday, Dave. Get it together. Still  would boop mid-snooze ",Dave,0,0,0,0,17580,3735,1.1
111,chow,862096992088072192,1494389314,iPhone,We only rate dogs. Please don't send perfectly toasted marshmallows attempting to drive. Thank you...  ,0,0,0,0,0,77089,24644,1.3
112,Cardigan,861383897657036800,1494219299,iPhone,This is Hobbes. He's never seen bubbles before.  deep breaths buddy ,Hobbes,0,0,0,0,37266,11318,1.3
113,German_shepherd,861005113778896900,1494128990,iPhone,This is Burt. He thinks your thesis statement is comically underdeveloped.  intellectual af ,Burt,0,0,0,0,17296,4034,1.2
114,Cardigan,860563773140209665,1494023766,iPhone,"Meet Lorenzo. He's an avid nifty hat wearer and absolute , but he needs your help to beat cancer. Link below

 ",Lorenzo,0,0,0,0,7768,2286,1.3
115,Bedlington_terrier,860524505164394496,1494014404,iPhone,This is Carl. He likes to dance. Doesn't care what you think about it.  h*ckin confident pup ,Carl,0,0,0,0,24409,5587,1.3
116,French_bulldog,859924526012018688,1493871358,iPhone,Meet Milky. She has no idea what happened. Just as pupset as you. Perhaps a sheep exploded. Even offered to help clean.  very good girl ,Milky,0,0,0,0,19782,4273,1.2
117,Labrador_retriever,859851578198683649,1493853966,iPhone,Meet Trooper. He picks pup recyclables that have blown out of bins in the neighborhood and puts them back.  environmentally savvy af ,Trooper,0,0,0,0,15928,3720,1.3
118,golden_retriever,859607811541651456,1493795847,iPhone,Sorry for the lack of posts today. I came home from school and had to spend quality time with my puppo. Her name is Zoey and she's  ,0,0,0,0,1,19255,1672,1.3
119,golden_retriever,858843525470990336,1493613627,iPhone,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All  would put it on the fridge ,0,1,0,0,0,16116,3699,1.3
120,Pembroke,858471635011153920,1493524962,iPhone,This is Sophie. She just arrived. Used pawority shipping. Speedy as h*ck delivery.  would carefully assemble ,Sophie,0,0,0,0,22329,5163,1.3
121,golden_retriever,858107933456039936,1493438248,iPhone,This is Wyatt. He had an interview earlier today. Was just told he didn't get the job. A h*ckin injustice. Still  keep your chin pup ,Wyatt,0,0,0,0,16332,3102,1.2
122,French_bulldog,857989990357356544,1493410129,iPhone,This is Rosie. She was just informed of the walk that's about to happen. Knows there are many a stick along the way.  such excite ,Rosie,0,0,0,0,16744,2756,1.2
123,Labrador_retriever,857746408056729600,1493352054,iPhone,Meet Thor. He doesn't have finals because he's a dog but is pupset you have finals. Just wants to play.  would abandon education for ,Thor,0,0,0,0,35578,11309,1.3
124,malamute,857393404942143489,1493267891,iPhone,"Instead of the usual nightly dog rate, I'm sharing this story with you. Meeko is  and would like your help 

 ",0,0,0,0,0,6146,1744,1.3
125,Samoyed,857263160327368704,1493236839,iPhone,This is Oscar and Oliver. Oliver shrunk Oscar. Oscar isn't pleased about it. Quite pupset tbh. Oliver doesn't seem to mind. Both  ,Oscar,0,0,0,0,20779,4837,1.3
126,golden_retriever,857029823797047296,1493181207,iPhone,This is Zeke. He performs group cheeky wink tutorials. Pawfect execution here.  would wink back ,Zeke,0,0,0,0,19678,4284,1.2
127,Boston_bull,856543823941562368,1493065336,iPhone,This is Callie. She'll be your navigator today. Takes her job very seriously. Will shift for you. One ear always in the pupholder.  ,Callie,0,0,0,0,16951,3082,1.2
128,Old_English_sheepdog,856526610513747968,1493061232,iPhone,"THIS IS CHARLIE, MARK. HE DID JUST WANT TO SAY HI AFTER ALL. PUPGRADED TO A . WOULD BE AN HONOR TO FLY WITH ",0,0,0,0,0,12311,2019,1.4
129,Chihuahua,856282028240666624,1493002919,iPhone,"This is Cermet, Paesh, and Morple. They are absolute h*ckin superstars. Watered every day so they can grow.  for all ",Cermet,0,0,0,0,28764,6735,1.4
130,flat-coated_retriever,855851453814013952,1492900262,iPhone,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda.  would keep the planet habitable for ,0,1,0,0,1,47295,18903,1.3
131,Blenheim_spaniel,855459453768019968,1492806802,iPhone,"Guys, we only rate dogs. This is quite clearly a bulbasaur. Please only send dogs. Thank you...  human used pet, it's super effective ",quite,0,0,0,0,31291,8852,1.2
132,Pembroke,854732716440526848,1492633534,iPhone,This is Marlee. She fetched a flower and immediately requested that it be placed behind her ear.  elegant af ,Marlee,0,0,0,0,23905,6566,1.2
133,Chihuahua,854482394044301312,1492573852,iPhone,This is Arya. She can barely contain her excitement for more peanut butter. Also patriotic af.  ,Arya,0,0,0,0,30715,7440,1.3
134,Pembroke,854365224396361728,1492545917,iPhone,This is Einstein. He's having a really good day. Hopes you are too. H*ckin nifty tongue.  would snug intensely ,Einstein,0,0,0,0,19783,5066,1.3
135,black-and-tan_coonhound,854120357044912130,1492487536,iPhone,Sometimes you guys remind me just how impactful a pupper can be. Cooper will be remembered as a good boy by so many.  rest easy friend ,0,0,0,1,0,33465,8134,1.4
136,English_springer,854010172552949760,1492461266,iPhone,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two.  only send dogs ",0,1,1,0,0,16961,3388,1.1
137,miniature_pinscher,853760880890318849,1492401830,iPhone,Say hello to Alice. I'm told she enjoys car rides and smells good.  would give her everything she could ever want ,Alice,0,0,0,0,30059,6277,1.2
138,German_shepherd,853639147608842240,1492372807,iPhone,A photographer took pictures before and after he told his bunny he's a good boy. Here are the results.  ,0,0,0,0,0,36684,11041,1.3
139,Great_Dane,852912242202992640,1492199499,iPhone,"Meet Benny. He likes being adorable and making fun of you while you're on the trampoline.  let's help him out

 ",Benny,0,0,0,0,9507,2001,1.2
140,golden_retriever,852672615818899456,1492142368,iPhone,This is Aspen. She's never tasted a stick so succulent. On the verge of tears. A face of pure appreciation.  ,Aspen,0,0,0,0,15716,2335,1.2
141,bloodhound,852553447878664193,1492113956,iPhone,This is Jarod. He likes having his belly brushed. Tongue ejects when you hit the right spot.  downright h*ckin adorable ,Jarod,0,0,0,0,17269,3817,1.3
142,Staffordshire_bullterrier,851953902622658560,1491971013,iPhone,RT @dog_rates: This is Astrid. She's a guide doggo in training.  would follow anywhere ,Astrid,1,0,0,0,0,10502,1.3
143,Cardigan,851591660324737024,1491884648,iPhone,Oh jeez u did me quite the spook little fella. We normally don't rate triceratops but this one seems suspiciously good.  would pet well ,0,0,0,0,0,17103,3771,1.1
144,pug,850753642995093505,1491684849,iPhone,"This is Kyle. He made a joke about your shoes, then stuck his tongue out at you. Uncalled for. Step the h*ck up Kyle.  would forgive ",Kyle,0,0,0,0,32907,10168,1.1
145,Yorkshire_terrier,850380195714523136,1491595812,iPhone,This is Leo. He's a personal triathlon coach. Currently overseeing this athlete's push-pups. H*ckin brutal.  would do all he asks of me ,Leo,0,0,0,0,13821,2858,1.3
146,Shetland_sheepdog,850019790995546112,1491509885,iPhone,Say hello to Boomer. He's a sandy pupper. Having a h*ckin blast.  would pet passionately ,Boomer,0,0,1,0,21673,5364,1.2
